,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ritasi ke - 1,,,,,,,,,,,,,,,Ritasi ke - 2,,,,,,,,,,,,,,,Ritasi ke - 3,,,,,,,,,,,,,,,Ritasi ke - 4,,,,,,,,,,,,,,,Ritasi ke - 5,,,,,,,,,,,,,,,Ritasi ke - 6,,,,,,,,,,,,,,,Ritasi ke - 7,,,,,,,,,,,,,,,Ritasi ke - 8,,,,,,,,,,,,
No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min,,No. ,Halte ,J. Tiba,J. Berangkat,Kec. Rata-Rata (km/jam),Kec. Max (km/jam),Kec. Min (km/jam),Jarak,Durasi Avg,Integer Avg,Durasi Max,Integer Max,Durasi Min,Integer Min
,TERMINAL JAKABARING,6:16:32 AM,6:16:32 AM,,,,,,,,,,,,,TERMINAL JAKABARING,7:51:14 AM,7:51:14 AM,,,,,,,,,,,,,TERMINAL JAKABARING,9:23:31 AM,9:23:31 AM,,,,,,,,,,,,,TERMINAL JAKABARING,10:49:21 AM,10:49:21 AM,,,,,,,,,,,,,TERMINAL JAKABARING,12:26:55 PM,12:26:55 PM,,,,,,,,,,,,,TERMINAL JAKABARING,1:57:53 PM,1:57:53 PM,,,,,,,,,,,,,TERMINAL JAKABARING,3:27:03 PM,3:27:03 PM,,,,,,,,,,,,,TERMINAL JAKABARING,4:45:41 PM,4:45:41 PM,,,,,,,,,,
1,PLN A,6:22:05 AM,6:22:15 AM,34.74,43.20,3.40,2.80,6:21:22 AM,81.37,6:20:25 AM,80.42,7:05:57 AM,125.95,,1,PLN A,7:58:04 AM,7:58:14 AM,27.76,44.30,21.45,2.80,7:57:17 AM,177.29,7:55:02 AM,175.03,7:59:04 AM,179.07,,1,PLN A,9:29:28 AM,9:29:38 AM,29.96,42.50,24.62,2.27,9:28:04 AM,268.06,9:26:43 AM,266.72,9:29:03 AM,269.05,,1,PLN A,10:55:14 AM,10:55:24 AM,30.03,41.72,21.33,2.79,10:54:55 AM,354.92,10:53:22 AM,353.36,10:57:12 AM,357.20,,1,PLN A,12:31:28 PM,12:31:38 PM,32.2,44.3,9.3,2.8,12:32:08 PM,452.13,12:30:43 PM,450.71,12:44:59 PM,464.98,,1,PLN A,2:03:20 PM,2:03:30 PM,30.8,42.5,11.0,2.8,2:03:20 PM,543.34,2:01:50 PM,541.84,2:13:09 PM,553.16,,1,PLN A,3:32:29 PM,3:32:39 PM,31.2,39.8,11.0,2.8,3:32:26 PM,632.43,3:31:16 PM,631.27,3:42:19 PM,642.32,,1,PLN A,4:51:34 PM,4:51:44 PM,28.8,43.9,4.5,2.8,4:51:31 PM,711.52,4:49:31 PM,709.51,5:23:01 PM,743.02
2,BANK SUMSEL BABEL B,6:23:15 AM,6:23:25 AM,41.20,42.80,40.69,0.85,6:23:19 AM,83.32,6:23:16 AM,83.27,6:23:20 AM,83.34,,2,BANK SUMSEL BABEL B,7:59:18 AM,7:59:28 AM,37.04,43.20,33.60,0.90,7:59:31 AM,179.52,7:59:19 AM,179.32,7:59:40 AM,179.67,,2,BANK SUMSEL BABEL B,9:30:33 AM,9:30:43 AM,34.03,50.80,21.45,0.93,9:31:06 AM,271.11,9:30:34 AM,270.57,9:32:04 AM,272.07,,2,BANK SUMSEL BABEL B,10:57:22 AM,10:57:32 AM,38.69,44.56,25.70,0.92,10:56:40 AM,356.66,10:56:28 AM,356.47,10:57:23 AM,357.38,,2,BANK SUMSEL BABEL B,12:33:07 PM,12:33:17 PM,37.5,44.3,4.2,0.81,12:32:46 PM,452.76,12:32:34 PM,452.56,12:43:02 PM,463.04,,2,BANK SUMSEL BABEL B,2:04:57 PM,2:05:07 PM,37.5,43.9,4.0,0.81,2:04:38 PM,544.63,2:04:26 PM,544.44,2:15:29 PM,555.48,,2,BANK SUMSEL BABEL B,3:34:06 PM,3:34:16 PM,37.1,41.2,8.4,0.81,3:33:48 PM,633.79,3:33:40 PM,633.66,3:38:16 PM,638.27,,2,BANK SUMSEL BABEL B,4:53:14 PM,4:53:24 PM,39.4,44.6,9.7,0.81,4:52:48 PM,712.80,4:52:39 PM,712.66,4:56:35 PM,716.58
3,GOR JAKABARING,6:25:15 AM,6:25:25 AM,47.00,43.21,29.50,0.33,6:23:40 AM,83.67,6:23:42 AM,83.71,6:23:55 AM,83.92,,3,GOR JAKABARING,8:00:39 AM,8:00:49 AM,33.10,41.40,28.60,0.36,7:59:57 AM,179.95,7:59:49 AM,179.82,8:00:03 AM,180.06,,3,GOR JAKABARING,9:31:27 AM,9:31:37 AM,17.40,41.00,15.61,0.36,9:31:47 AM,271.79,9:31:05 AM,271.08,9:31:56 AM,271.93,,3,GOR JAKABARING,10:58:27 AM,10:58:37 AM,32.90,38.90,28.40,0.33,10:57:58 AM,357.97,10:57:53 AM,357.88,10:58:04 AM,358.06,,3,GOR JAKABARING,12:34:08 PM,12:34:18 PM,27.1,37.4,6.8,0.32,12:33:50 PM,453.83,12:33:38 PM,453.63,12:35:56 PM,455.94,,3,GOR JAKABARING,2:05:48 PM,2:05:58 PM,29.8,40.0,7.3,0.32,2:05:36 PM,545.59,2:05:26 PM,545.43,2:07:35 PM,547.58,,3,GOR JAKABARING,3:35:05 PM,3:35:15 PM,26.3,30.8,7.8,0.32,3:34:50 PM,634.83,3:34:43 PM,634.72,3:36:34 PM,636.56,,3,GOR JAKABARING,4:54:03 PM,4:54:13 PM,28.4,36.7,11.2,0.32,4:53:55 PM,713.91,4:53:45 PM,713.76,4:54:57 PM,714.95
4,STASIUN JAKABARING,6:26:33 AM,6:26:43 AM,35.82,43.23,24.70,0.31,6:25:46 AM,85.77,6:25:41 AM,85.68,6:26:00 AM,86.00,,4,STASIUN JAKABARING,8:01:42 AM,8:01:52 AM,30.62,43.60,20.30,0.34,8:01:19 AM,181.32,8:01:07 AM,181.12,8:01:39 AM,181.65,,4,STASIUN JAKABARING,9:32:36 AM,9:32:46 AM,32.47,42.80,22.87,0.32,9:32:02 AM,272.04,9:31:54 AM,271.90,9:32:17 AM,272.29,,4,STASIUN JAKABARING,10:59:30 AM,10:59:40 AM,28.40,35.32,20.20,0.33,10:59:09 AM,359.15,10:59:01 AM,359.01,10:59:26 AM,359.43,,4,STASIUN JAKABARING,12:34:56 PM,12:35:06 PM,29.3,39.6,4.2,0.26,12:34:40 PM,454.67,12:34:32 PM,454.53,12:37:51 PM,457.85,,4,STASIUN JAKABARING,2:06:44 PM,2:06:54 PM,26.2,33.1,6.7,0.26,2:06:24 PM,546.40,2:06:16 PM,546.27,2:08:08 PM,548.13,,4,STASIUN JAKABARING,3:35:52 PM,3:36:02 PM,28.7,31.4,8.5,0.26,3:35:38 PM,635.63,3:35:35 PM,635.58,3:36:55 PM,636.92,,4,STASIUN JAKABARING,4:55:06 PM,4:55:16 PM,21.9,39.2,2.5,0.26,4:54:46 PM,714.76,4:54:27 PM,714.45,5:00:17 PM,720.29
5,DJKA,6:28:38 AM,6:28:48 AM,39.10,43.60,36.00,1.05,6:28:10 AM,88.16,6:28:00 AM,87.99,6:28:18 AM,88.30,,5,DJKA,8:03:32 AM,8:03:42 AM,40.90,44.30,38.60,1.03,8:03:13 AM,183.21,8:03:06 AM,183.10,8:03:18 AM,183.30,,5,DJKA,9:34:36 AM,9:34:46 AM,39.73,44.30,35.67,1.05,9:34:11 AM,274.19,9:34:01 AM,274.02,9:34:22 AM,274.37,,5,DJKA,11:00:49 AM,11:00:59 AM,39.04,43.12,29.41,1.05,11:01:07 AM,361.11,11:00:58 AM,360.96,11:01:39 AM,361.64,,5,DJKA,12:36:41 PM,12:36:51 PM,37.9,45.4,5.7,1.02,12:36:33 PM,456.55,12:36:17 PM,456.28,12:45:40 PM,465.67,,5,DJKA,2:08:37 PM,2:08:47 PM,36.4,43.9,4.1,1.02,2:08:25 PM,548.41,2:08:08 PM,548.13,2:21:40 PM,561.66,,5,DJKA,3:37:39 PM,3:37:49 PM,38.7,44.1,11.9,1.02,3:37:27 PM,637.45,3:37:15 PM,637.25,3:41:01 PM,641.01,,5,DJKA,4:56:50 PM,4:57:00 PM,39.2,45.0,5.6,1.02,4:56:40 PM,716.66,4:56:28 PM,716.46,5:06:02 PM,726.03
6,DEPO DJKA,6:30:40 AM,6:30:50 AM,34.79,43.20,28.11,0.36,6:29:15 AM,89.25,6:29:08 AM,89.13,6:29:24 AM,89.40,,6,DEPO DJKA,8:05:43 AM,8:05:53 AM,34.63,43.20,25.30,0.98,8:05:14 AM,185.23,8:04:54 AM,184.89,8:05:51 AM,185.86,,6,DEPO DJKA,9:36:17 AM,9:36:27 AM,25.48,40.70,10.00,0.97,9:36:53 AM,276.88,9:36:02 AM,276.03,9:40:25 AM,280.42,,6,DEPO DJKA,11:02:08 AM,11:02:18 AM,23.39,35.23,15.22,0.96,11:03:17 AM,363.28,11:02:27 AM,362.45,11:04:36 AM,364.60,,6,DEPO DJKA,12:39:32 PM,12:39:42 PM,27.3,37.8,3.6,0.92,12:38:42 PM,458.71,12:38:09 PM,458.14,12:52:01 PM,472.02,,6,DEPO DJKA,2:11:35 PM,2:11:45 PM,23.5,36.0,6.1,0.92,2:10:58 PM,550.97,2:10:09 PM,550.15,2:17:40 PM,557.67,,6,DEPO DJKA,3:40:22 PM,3:40:32 PM,22.5,33.2,3.8,0.92,3:40:06 PM,640.10,3:39:19 PM,639.31,3:52:11 PM,652.18,,6,DEPO DJKA,5:00:23 PM,5:00:33 PM,19.1,40.0,4.5,0.92,4:59:43 PM,719.72,4:58:13 PM,718.21,5:09:06 PM,729.10
7,SIMPANG TEGAL BINANGUN,6:31:41 AM,6:31:51 AM,24.40,41.40,8.89,0.33,6:31:29 AM,91.48,6:31:09 AM,91.14,6:32:54 AM,92.89,,7,SIMPANG TEGAL BINANGUN,8:06:54 AM,8:07:04 AM,22.44,37.40,5.65,0.33,8:06:36 AM,186.60,8:06:15 AM,186.25,8:09:13 AM,189.22,,7,SIMPANG TEGAL BINANGUN,9:38:05 AM,9:38:15 AM,19.52,40.00,5.43,0.35,9:37:22 AM,277.36,9:36:49 AM,276.81,9:40:09 AM,280.15,,7,SIMPANG TEGAL BINANGUN,11:04:09 AM,11:04:19 AM,21.35,37.30,13.12,0.35,11:03:07 AM,363.12,11:02:42 AM,362.70,11:03:44 AM,363.73,,7,SIMPANG TEGAL BINANGUN,12:40:37 PM,12:40:47 PM,22.9,37.1,4.3,0.36,12:40:29 PM,460.48,12:40:07 PM,460.12,12:44:33 PM,464.56,,7,SIMPANG TEGAL BINANGUN,2:13:17 PM,2:13:27 PM,17.9,38.5,3.5,0.36,2:12:47 PM,552.79,2:12:09 PM,552.14,2:17:45 PM,557.75,,7,SIMPANG TEGAL BINANGUN,3:42:19 PM,3:42:29 PM,13.2,38.1,2.7,0.36,3:42:00 PM,642.00,3:40:56 PM,640.93,3:48:22 PM,648.37,,7,SIMPANG TEGAL BINANGUN,5:02:24 PM,5:02:34 PM,14.1,37.8,4.7,0.36,5:01:55 PM,721.92,5:00:57 PM,720.95,5:04:59 PM,724.98
8,LORONG KARANG ANYAR,6:34:26 AM,6:34:36 AM,30.86,49.30,5.00,1.76,6:35:06 AM,95.11,6:33:50 AM,93.83,6:52:48 AM,112.80,,8,LORONG KARANG ANYAR,8:10:38 AM,8:10:48 AM,29.03,40.70,19.80,1.74,8:10:30 AM,190.50,8:09:28 AM,189.47,8:12:10 AM,192.17,,8,LORONG KARANG ANYAR,9:42:45 AM,9:42:55 AM,28.27,40.70,22.60,1.76,9:41:49 AM,281.82,9:40:41 AM,280.68,9:42:45 AM,282.76,,8,LORONG KARANG ANYAR,11:08:12 AM,11:08:22 AM,28.98,43.21,18.93,1.74,11:07:45 AM,367.75,11:06:34 AM,366.57,11:09:40 AM,369.67,,8,LORONG KARANG ANYAR,12:44:23 PM,12:44:33 PM,28.6,36.7,2.1,1.74,12:44:16 PM,464.27,12:43:28 PM,463.46,1:30:20 PM,510.33,,8,LORONG KARANG ANYAR,2:17:59 PM,2:18:09 PM,23.5,40.3,4.0,1.74,2:17:44 PM,557.73,2:15:52 PM,555.87,2:39:23 PM,579.38,,8,LORONG KARANG ANYAR,3:46:14 PM,3:46:24 PM,28.1,36.1,4.7,1.74,3:46:02 PM,646.03,3:45:13 PM,645.21,4:04:32 PM,664.53,,8,LORONG KARANG ANYAR,5:06:10 PM,5:06:20 PM,29.6,38.9,8.3,1.74,5:05:56 PM,725.93,5:05:05 PM,725.08,5:14:59 PM,734.98
9,PUSKESMAS TEGAL BINANGUN,6:37:30 AM,6:37:40 AM,28.60,42.80,5.00,1.19,6:36:56 AM,96.93,6:36:06 AM,96.10,6:48:43 AM,108.71,,9,PUSKESMAS TEGAL BINANGUN,8:13:48 AM,8:13:58 AM,25.47,39.20,15.60,1.18,8:13:25 AM,193.41,8:12:26 AM,192.44,8:15:10 AM,195.17,,9,PUSKESMAS TEGAL BINANGUN,9:45:24 AM,9:45:34 AM,20.84,43.20,11.63,1.18,9:46:09 AM,286.15,9:44:23 AM,284.39,9:48:50 AM,288.84,,9,PUSKESMAS TEGAL BINANGUN,11:11:37 AM,11:11:47 AM,22.56,34.80,15.20,1.19,11:11:22 AM,371.36,11:10:15 AM,370.25,11:12:54 AM,372.90,,9,PUSKESMAS TEGAL BINANGUN,12:48:41 PM,12:48:51 PM,17.5,22.3,6.0,1.15,12:48:20 PM,468.33,12:47:29 PM,467.48,12:55:53 PM,475.88,,9,PUSKESMAS TEGAL BINANGUN,2:21:15 PM,2:21:25 PM,22.9,37.4,1.4,1.15,2:21:00 PM,561.00,2:19:50 PM,559.83,3:07:16 PM,607.27,,9,PUSKESMAS TEGAL BINANGUN,3:49:16 PM,3:49:26 PM,24.8,38.2,5.4,1.15,3:49:01 PM,649.02,3:48:02 PM,648.04,3:59:01 PM,659.01,,9,PUSKESMAS TEGAL BINANGUN,5:09:51 PM,5:10:01 PM,21.9,35.3,3.8,1.15,5:09:19 PM,729.32,5:08:07 PM,728.12,5:24:19 PM,744.32
10,SIMPANG PASAR TEGAL BINANGUN,6:40:17 AM,6:40:27 AM,24.33,37.80,20.10,0.91,6:39:45 AM,99.74,6:38:57 AM,98.94,6:40:13 AM,100.22,,10,SIMPANG PASAR TEGAL BINANGUN,8:16:56 AM,8:17:06 AM,18.61,33.50,4.75,0.91,8:16:44 AM,196.73,8:15:26 AM,195.43,8:25:18 AM,205.29,,10,SIMPANG PASAR TEGAL BINANGUN,9:48:06 AM,9:48:16 AM,22.62,33.80,20.63,0.88,9:47:44 AM,287.73,9:46:58 AM,286.96,9:47:58 AM,287.96,,10,SIMPANG PASAR TEGAL BINANGUN,11:14:23 AM,11:14:33 AM,23.49,31.70,14.87,0.91,11:13:56 AM,373.94,11:13:20 AM,373.34,11:15:17 AM,375.29,,10,SIMPANG PASAR TEGAL BINANGUN,12:51:41 PM,12:51:51 PM,19.7,30.2,5.7,0.93,12:51:31 PM,471.52,12:50:32 PM,470.53,12:58:28 PM,478.47,,10,SIMPANG PASAR TEGAL BINANGUN,2:23:53 PM,2:24:03 PM,23.0,33.5,5.1,0.93,2:23:41 PM,563.68,2:22:55 PM,562.92,2:32:11 PM,572.19,,10,SIMPANG PASAR TEGAL BINANGUN,3:52:12 PM,3:52:22 PM,21.0,35.3,5.1,0.93,3:51:55 PM,651.92,3:50:51 PM,650.85,4:00:12 PM,660.21,,10,SIMPANG PASAR TEGAL BINANGUN,5:12:17 PM,5:12:27 PM,23.6,38.2,2.9,0.93,5:12:13 PM,732.21,5:11:19 PM,731.31,5:29:05 PM,749.09
11,TERMINAL PLAJU,6:44:56 AM,6:45:06 AM,20.72,40.30,10.40,1.35,6:44:12 AM,104.19,6:42:18 AM,102.29,6:48:04 AM,108.07,,11,TERMINAL PLAJU,8:22:49 AM,8:22:59 AM,16.70,37.60,12.63,1.33,8:21:43 AM,201.71,8:19:03 AM,199.06,8:23:15 AM,203.25,,11,TERMINAL PLAJU,9:54:26 AM,9:54:36 AM,12.72,40.00,6.61,1.35,9:54:28 AM,294.47,9:50:08 AM,290.13,10:00:21 AM,300.35,,11,TERMINAL PLAJU,11:20:04 AM,11:20:14 AM,14.74,22.40,9.65,1.36,11:19:55 AM,379.92,11:18:02 AM,378.03,11:22:50 AM,382.84,,11,TERMINAL PLAJU,12:57:03 PM,12:57:13 PM,15.9,40.7,4.3,1.33,12:56:42 PM,476.70,12:53:39 PM,473.64,1:10:14 PM,490.24,,11,TERMINAL PLAJU,2:29:04 PM,2:29:14 PM,16.5,36.0,2.4,1.33,2:28:43 PM,568.72,2:26:06 PM,566.10,2:57:08 PM,597.13,,11,TERMINAL PLAJU,3:57:28 PM,3:57:38 PM,15.9,34.8,4.0,1.33,3:57:13 PM,657.22,3:54:30 PM,654.49,4:12:09 PM,672.15,,11,TERMINAL PLAJU,5:17:37 PM,5:17:47 PM,17.7,29.9,7.8,1.33,5:16:48 PM,736.79,5:14:57 PM,734.95,5:22:31 PM,742.51
